"","Gene","F_values","P_values","Genetic.Elements","stage","counts","Sample","logCounts"
"33","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Mid",144.021,"Mid Sample 6",2.15842582208949
"34","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Early",231.715,"Early Sample 1",2.36495414862109
"35","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Stationary",144.349,"Stationary Sample 9",2.15941377958504
"36","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Mid",163.12,"Mid Sample 4",2.21250721277008
"37","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Stationary",78.9813,"Stationary Sample 9",1.89752427776948
"38","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Stationary",60.5476,"Stationary Sample 7",1.78209693315349
"39","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Mid",92.218,"Mid Sample 5",1.96481569911975
"40","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Early",134.033,"Early Sample 3",2.12721173831605
"41","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Early",117.211,"Early Sample 1",2.06896837119681
"42","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Stationary",16.5517,"Stationary Sample 8",1.21884260613005
"43","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Early",173.349,"Early Sample 2",2.238921340681
"44","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Mid",89.1925,"Mid Sample 4",1.95032833704926
"45","BB_0014_priA_primosomal_protein_N",9.69324782295332,0.0132021750324055,"Chromosome","Mid",82.5141,"Mid Sample 6",1.91652816708288
"46","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Early",2423.05,"Early Sample 2",3.38436237596171
"47","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Mid",3673.48,"Mid Sample 6",3.56507767970148
"48","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Stationary",4012.28,"Stationary Sample 7",3.60339123297544
"49","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Early",1831.12,"Early Sample 1",3.2627168061423
"50","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Stationary",3092.2,"Stationary Sample 9",3.49026757583081
"51","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Mid",3433.1,"Mid Sample 5",3.53568645382356
"52","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Early",1854.23,"Early Sample 3",3.26816360334435
"53","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Stationary",3545.13,"Stationary Sample 8",3.5496321653999
"54","BB_0016_-_GlpE_protein",6.1383678368358,0.0353800024287033,"Chromosome","Mid",2263.28,"Mid Sample 4",3.35473828569695
"55","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Stationary",1911.12,"Stationary Sample 9",3.28128795743786
"56","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Mid",1522.65,"Mid Sample 5",3.18260008683097
"57","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Stationary",1654.68,"Stationary Sample 7",3.21871401764556
"58","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Early",1478.22,"Early Sample 1",3.16973907389359
"59","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Early",1451.83,"Early Sample 3",3.16191576623717
"60","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Early",1454.3,"Early Sample 2",3.16265400411958
"61","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Mid",1634.59,"Mid Sample 6",3.21340883768929
"62","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Mid",1687.87,"Mid Sample 4",3.22733899415172
"63","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase",7.77300545027138,0.021594995877069,"Chromosome","Stationary",2072.85,"Stationary Sample 8",3.31656787588581
"64","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Early",285.482,"Early Sample 3",2.4555787306305
"65","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Stationary",129.618,"Stationary Sample 8",2.11266531602421
"66","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Mid",212.775,"Mid Sample 4",2.32792059918755
"67","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Stationary",177.636,"Stationary Sample 7",2.24953098518681
"68","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Stationary",174.289,"Stationary Sample 9",2.24126997810224
"69","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Mid",192.107,"Mid Sample 5",2.28354318998395
"70","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Early",244.713,"Early Sample 1",2.38865704118791
"71","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Early",225.435,"Early Sample 2",2.35302134350619
"72","BB_0033_smpB_SsrA-binding_protein",10.4861892988799,0.0110076854296093,"Chromosome","Mid",191.272,"Mid Sample 6",2.28165139901052
"73","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Early",683.469,"Early Sample 1",2.83471882112146
"74","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Mid",844.628,"Mid Sample 4",2.92666547448876
"75","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Early",722.973,"Early Sample 2",2.85912207852556
"76","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Mid",859.663,"Mid Sample 5",2.93432823505322
"77","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Early",701.41,"Early Sample 3",2.84597195332458
"78","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Mid",930.93,"Mid Sample 6",2.96891702603325
"79","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Stationary",760.97,"Stationary Sample 7",2.88136753575707
"80","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Stationary",698.707,"Stationary Sample 8",2.84429509425784
"81","BB_0036_-_DNA_topoisomerase_IV_subunit_B",14.7760070418394,0.00480685612361417,"Chromosome","Stationary",797.274,"Stationary Sample 9",2.90160760149378
"82","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Stationary",1665.85,"Stationary Sample 9",3.22163589316613
"83","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Early",1407.01,"Early Sample 3",3.14829718409387
"84","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Mid",2185.75,"Mid Sample 5",3.33960048706043
"85","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Stationary",1591.77,"Stationary Sample 8",3.20188031531934
"86","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Mid",1613.94,"Mid Sample 6",3.20788738530968
"87","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Early",1373.98,"Early Sample 1",3.13798041106934
"88","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Mid",2004.44,"Mid Sample 4",3.30199306080659
"89","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Early",1555.23,"Early Sample 2",3.19179462509557
"90","BB_0037_-_1-acyl-sn-glycerol-3-phosphate_acyltransferase",5.64898606250742,0.0417319013783386,"Chromosome","Stationary",1668.06,"Stationary Sample 7",3.22221166812442
"91","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Early",84.6141,"Early Sample 2",1.92744273942148
"92","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Mid",54.7959,"Mid Sample 4",1.73874806443347
"93","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Stationary",16.7335,"Stationary Sample 7",1.22358678804606
"94","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Early",51.013,"Early Sample 1",1.70768086450618
"95","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Stationary",33.9771,"Stationary Sample 9",1.53118630838399
"96","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Stationary",12.9206,"Stationary Sample 8",1.11128268166516
"97","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Mid",86.262,"Mid Sample 6",1.93581952312241
"98","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Mid",75.2961,"Mid Sample 5",1.87677248227848
"99","BB_0040_cheR_chemotaxis_protein_methyltransferase",6.72534522944723,0.029352742432841,"Chromosome","Early",39.6006,"Early Sample 3",1.59770176609509
"100","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Early",2620.47,"Early Sample 2",3.41837919212141
"101","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Stationary",4931.13,"Stationary Sample 8",3.69294645204208
"102","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Mid",3678.6,"Mid Sample 5",3.56568256651088
"103","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Early",2834.06,"Early Sample 3",3.45240904047498
"104","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Early",2739.98,"Early Sample 1",3.4377473927761
"105","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Mid",4226.93,"Mid Sample 4",3.62602505576243
"106","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Mid",4350.18,"Mid Sample 6",3.63850722738899
"107","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Stationary",4539.02,"Stationary Sample 9",3.65696209635168
"108","BB_0047_-_hypothetical_protein",37.1662109369901,0.000416659386583108,"Chromosome","Stationary",4350.87,"Stationary Sample 7",3.63857610716629
"109","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Early",26.1322,"Early Sample 3",1.4171759733569
"110","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Stationary",22.4322,"Stationary Sample 7",1.35087186836704
"111","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Mid",54.0992,"Mid Sample 5",1.73319084295954
"112","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Early",28.5858,"Early Sample 2",1.45615035085233
"113","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Stationary",5.65179,"Stationary Sample 8",0.752186016669878
"114","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Mid",32.0123,"Mid Sample 4",1.50531687818737
"115","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Early",15.1783,"Early Sample 1",1.18122313243145
"116","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Mid",60.7801,"Mid Sample 6",1.78376141027852
"117","BB_0053_ung_uracil-DNA_glycosylase",5.69738604851443,0.0410390710766706,"Chromosome","Stationary",28.4661,"Stationary Sample 9",1.45432797067698
"118","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Early",2789.02,"Early Sample 2",3.44545162859323
"119","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Early",2455.9,"Early Sample 1",3.39021067910905
"120","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Stationary",3419.72,"Stationary Sample 8",3.53399054832716
"121","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Early",2511.77,"Early Sample 3",3.39997986902057
"122","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Mid",3019.42,"Mid Sample 5",3.47992352739729
"123","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Mid",2932.34,"Mid Sample 4",3.46721432461951
"124","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Mid",3013.07,"Mid Sample 6",3.47900922137153
"125","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Stationary",2822.59,"Stationary Sample 7",3.45064779856165
"126","BB_0055_tpiA_triosephosphate_isomerase",5.77649605112366,0.0399392843642379,"Chromosome","Stationary",3140.51,"Stationary Sample 9",3.49700018062113
"127","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Stationary",3639.02,"Stationary Sample 9",3.56098444246883
"128","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Early",2351.11,"Early Sample 2",3.37127294868064
"129","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Stationary",6213.05,"Stationary Sample 7",3.79330484864558
"130","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Mid",3791.23,"Mid Sample 5",3.57878013227683
"131","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Early",2022.31,"Early Sample 1",3.30584772938062
"132","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Early",2169.18,"Early Sample 3",3.33629559155464
"133","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Stationary",4858.77,"Stationary Sample 8",3.68652634131553
"134","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Mid",4132.71,"Mid Sample 6",3.61623493109382
"135","BB_0061_trx_thioredoxin",7.14904028875435,0.025827884437168,"Chromosome","Mid",2598.71,"Mid Sample 4",3.41475781762073
"136","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Early",835.341,"Early Sample 1",2.92186379786315
"137","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Mid",759.99,"Mid Sample 4",2.88080787784212
"138","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Stationary",514.346,"Stationary Sample 7",2.7112553667337
"139","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Stationary",450.514,"Stationary Sample 8",2.65370829149327
"140","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Early",814.717,"Early Sample 3",2.91100677845519
"141","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Stationary",650.445,"Stationary Sample 9",2.81321057959652
"142","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Mid",797.596,"Mid Sample 6",2.90178296729171
"143","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Mid",755.778,"Mid Sample 5",2.87839424585347
"144","BB_0068_-_haloacid_dehalogenase-like_hydrolase",11.517048210142,0.00882528637513912,"Chromosome","Early",713.712,"Early Sample 2",2.85352299883059
"145","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Early",132.439,"Early Sample 1",2.12201589288854
"146","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Early",164.116,"Early Sample 3",2.21515092336252
"147","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Stationary",98.983,"Stationary Sample 9",1.99556061237372
"148","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Early",191.166,"Early Sample 2",2.28141065297451
"149","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Stationary",28.8692,"Stationary Sample 8",1.46043474922885
"150","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Mid",161.833,"Mid Sample 5",2.2090670849931
"151","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Mid",166.978,"Mid Sample 4",2.22265925493205
"152","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Stationary",101.065,"Stationary Sample 7",2.00460078033298
"153","BB_0073_-_hypothetical_protein",6.32589082251884,0.0332883894289158,"Chromosome","Mid",123.623,"Mid Sample 6",2.09209927855072
"154","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Stationary",123.235,"Stationary Sample 9",2.09073406942046
"155","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Mid",152.323,"Mid Sample 5",2.18276548455022
"156","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Early",235.31,"Early Sample 2",2.37164038383788
"157","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Mid",147.027,"Mid Sample 6",2.16739709579763
"158","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Mid",192.628,"Mid Sample 4",2.2847194155074
"159","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Early",211.352,"Early Sample 3",2.3250063618639
"160","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Early",185.116,"Early Sample 1",2.26744395744229
"161","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Stationary",26.8089,"Stationary Sample 8",1.42827899474637
"162","BB_0077_-_hypothetical_protein",8.54921691219628,0.0175269420088106,"Chromosome","Stationary",112.914,"Stationary Sample 7",2.05274779264064
"163","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Mid",1563,"Mid Sample 6",3.19395897801919
"164","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Mid",1463.58,"Mid Sample 4",3.16541646616782
"165","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Early",1656.52,"Early Sample 3",3.21919668370557
"166","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Stationary",843.586,"Stationary Sample 8",2.92612936365493
"167","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Stationary",697.539,"Stationary Sample 7",2.8435684943991
"168","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Early",1646.57,"Early Sample 2",3.21658019843543
"169","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Stationary",1424.29,"Stationary Sample 9",3.15359842509929
"170","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Mid",1348.67,"Mid Sample 5",3.12990569710599
"171","BB_0092_-_V-type_ATPase_subunit_D",7.09624530127827,0.0262351820899833,"Chromosome","Early",1806.22,"Early Sample 1",3.25677064684517
"172","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Early",2319.09,"Early Sample 1",3.36531760320673
"173","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Early",2647.79,"Early Sample 2",3.42288353761895
"174","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Stationary",3609.04,"Stationary Sample 9",3.55739169549342
"175","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Stationary",4019.56,"Stationary Sample 7",3.60417851576347
"176","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Early",2411.14,"Early Sample 3",3.38222242790639
"177","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Stationary",3849.12,"Stationary Sample 8",3.58536145085179
"178","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Mid",3048.71,"Mid Sample 4",3.48411611528382
"179","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Mid",2839.18,"Mid Sample 5",3.45319292705515
"180","BB_0097_-_hypothetical_protein",36.8308008007894,0.00042727418072481,"Chromosome","Mid",3256.43,"Mid Sample 6",3.5127417470455
"181","BB_0107_nusB_transcription_antitermination_factor_NusB",9.5791364274868,0.0135647340135574,"Chromosome","Early",878.427,"Early Sample 1",2.94370567611649
"182","BB_0107_nusB_transcription_antitermination_factor_NusB",9.5791364274868,0.0135647340135574,"Chromosome","Early",1006.37,"Early Sample 2",3.00275768192805
"183","BB_0107_nusB_transcription_antitermination_factor_NusB",9.5791364274868,0.0135647340135574,"Chromosome","Stationary",1312.38,"Stationary Sample 9",3.11805960333865
"184","BB_0107_nusB_transcription_antitermination_factor_NusB",9.5791364274868,0.0135647340135574,"Chromosome","Early",985.21,"Early Sample 3",2.99352881133067
